Year,Coffee,Cocoa,Tea,Rice,Wheat,Maize,Sugar,Beef,Lamb,Banana,Palmoil,Cotton,Jute,Wool,Hides,Tobacco,Rubber,Timber,Copper,Aluminum,Tin,Silver,Lead,Zinc,MUV,GYCPI,GYCPIM,GYCPINF,GYCPIF,GYCPICW,GYCPIM-CW,GYCPINF-CW,GYCPIF-CW
2007,63.408,55.787,116.786,106.542,213.028,157.615,118.263,155.612,200.289,228.421,132.56,81.065,106.46,163.605,137.619,161.189,216.03,225.087,448.143,230.316,117.213,190.555,309.798,465.688,189.732,177.004,311.703,180.202,131.828,154.51,282.438,170.109,121.205
2008,71.74,73.643,138.833,212.211,322.404,214.869,150.195,159.653,222.92,285.339,161.152,91.451,151.442,151.699,122.302,174.497,247.427,199.376,437.922,224.607,149.25,213.094,251.041,269.258,202.444,194.575,290.844,173.006,174.086,174.555,271.662,165.591,155.269
2009,73.824,82.548,156.243,181.141,213.139,159.391,212.955,157.704,207.916,286.329,116.009,80.302,181.649,130.769,85.603,206.221,186.942,170.253,324.212,145.341,109.449,208.763,206.445,237.718,191.039,163.481,219.018,150.592,151.882,151.037,203.246,143.264,140.833
2010,100.572,89.527,165.473,159.571,221.556,179.041,249.857,201.011,258.373,293.488,153.046,132.675,275.669,175.424,137.273,209.313,336.73,199.286,474.368,189.716,164.534,286.939,257.98,310.34,195.844,204.535,306.068,196.923,175.441,189.339,280.874,190.159,166.297
2011,139.125,85.157,167.516,177.236,311.804,280.901,305.124,241.487,322.388,327.177,191.202,193.364,203.872,258.646,156.517,218.078,450.259,212.589,555.797,209.644,210.076,500.438,288.283,315.102,211.988,254.44,367.429,234.367,227.799,235.046,334.232,225.341,214.155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data series indexed to the series 1977-1979 arithmetic mean. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data sources and series descriptions as in S.Pfaffenzeller et.al. ""A Short Note on Updating the Grilli and Yang Commodity Price index.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUV: MUV-G5 unit value index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYCPI: Grilli and Yang commodity price index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYCPIM: Metal sub-index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYCPINF: Non-food agricultural commodities sub-index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYCPIF: Agricultural food commodities sub-index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GYCPICW: Grilli and Yang commodity price index, geometric aggregation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GYCPIM-CW: GYCPIM, geometric aggregation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GYCPINF-CW: GYCPINF, geometric aggregation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GYCPIF-CW: GYCPIF, geometric aggregation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
